;1215;3M Compresa Cold/Hot Pack por Unidad;3m-compresa-cold/hot-pack-por-unidad;3M Compresa Cold/Hot Pack por Unidad;\N;\N;3M Compresa Cold/Hot Pack por Unidad;es_EC;~
;1216;Botiquin 3M Nexcare de Primeros Auxulios;botiquin-3m-nexcare-de-primeros-auxulios;Botiquin 3M Nexcare de Primeros Auxulios;\N;\N;Botiquin 3M Nexcare de Primeros Auxulios;es_EC;~
;1217;Coban Venda Autoad tono Piel 2 por 5 Yrds;coban-venda-autoad-tono-piel-2-por-5-yrds;Coban Venda Autoad tono Piel 2 por 5 Yrds;\N;\N;Coban Venda Autoad tono Piel 2 por 5 Yrds;es_EC;~
;1218;Gasa Esteril 3M Nexcare por 50 Sobres ;gasa-esteril-3m-nexcare-por-50-sobres-;Gasa Esteril 3M Nexcare por 50 Sobres ;\N;\N;Gasa Esteril 3M Nexcare por 50 Sobres ;es_EC;~
;1219;Micropore Blanco 12.5 mm por 9.1 Mt.;micropore-blanco-12.5-mm-por-9.1-mt.;Micropore Blanco 12.5 mm por 9.1 Mt.;\N;\N;Micropore Blanco 12.5 mm por 9.1 Mt.;es_EC;~
;1220;Micropore Blanco 1 25 mm por 9.1 Mt.;micropore-blanco-1-25-mm-por-9.1-mt.;Micropore Blanco 1 25 mm por 9.1 Mt.;\N;\N;Micropore Blanco 1 25 mm por 9.1 Mt.;es_EC;~
;1221;Micropore Blanco 2 50 mm por 9.1 Mt.;micropore-blanco-2-50-mm-por-9.1-mt.;Micropore Blanco 2 50 mm por 9.1 Mt.;\N;\N;Micropore Blanco 2 50 mm por 9.1 Mt.;es_EC;~
;1222;Micropore Blanco 3 75 mm por 9.1 Mt.;micropore-blanco-3-75-mm-por-9.1-mt.;Micropore Blanco 3 75 mm por 9.1 Mt.;\N;\N;Micropore Blanco 3 75 mm por 9.1 Mt.;es_EC;~
;1223;Micropore Color Piel 12.5 mm por 9.1 Mt.;micropore-color-piel-12.5-mm-por-9.1-mt.;Micropore Color Piel 12.5 mm por 9.1 Mt.;\N;\N;Micropore Color Piel 12.5 mm por 9.1 Mt.;es_EC;~
;1224;Micropore Color Piel 1 25 mm por 9.1 Mt.;micropore-color-piel-1-25-mm-por-9.1-mt.;Micropore Color Piel 1 25 mm por 9.1 Mt.;\N;\N;Micropore Color Piel 1 25 mm por 9.1 Mt.;es_EC;~
