,1215,Sylius\\Component\\Core\\Model\\Product,3M Compresa Cold/Hot Pack por Unidad,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1082;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1216,Sylius\\Component\\Core\\Model\\Product,Botiquin 3M Nexcare de Primeros Auxulios,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:1360;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1217,Sylius\\Component\\Core\\Model\\Product,Coban Venda Autoad tono Piel 2 por 5 Yrds,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:394;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1218,Sylius\\Component\\Core\\Model\\Product,Gasa Esteril 3M Nexcare por 50 Sobres ,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:2100;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1219,Sylius\\Component\\Core\\Model\\Product,Micropore Blanco 12.5 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:284;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1220,Sylius\\Component\\Core\\Model\\Product,Micropore Blanco 1 25 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:436;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1221,Sylius\\Component\\Core\\Model\\Product,Micropore Blanco 2 50 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:768;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1222,Sylius\\Component\\Core\\Model\\Product,Micropore Blanco 3 75 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:1065;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1223,Sylius\\Component\\Core\\Model\\Product,Micropore Color Piel 12.5 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:231;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,1224,Sylius\\Component\\Core\\Model\\Product,Micropore Color Piel 1 25 mm por 9.1 Mt.,a:4:{s:6:"taxons";a:1:{i:0;s:8:"Botiquin";}s:5:"price";i:353;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
